state,x,y
Andhra Pradesh,-106,-140
Arunachal Pradesh,172,110
Assam,144,84
Bihar,44,70
Chhattisgarh,-24,-1
Goa,-192,-31
Gujarat,-209,32
Haryana,-123,130
Himachal Pradesh,-99,191
Jharkhand,32,30
Karnataka,-142,-174
Kerala,-147,-222
Madhya Pradesh,-130,17
Maharashtra,-160,-56
Manipur,191,55
Meghalaya,138,66
Mizoram,180,28
Nagaland,205,82
Odisha,10,-32
Punjab,-135,166
Rajasthan,-190,95
Sikkim,98,107
Tamil Nadu,-110,-213
Telangana,-93,-96
Tripura,144,34
Uttar Pradesh,-55,91
Uttarakhand,-72,157
West Bengal,86,20

